,Title,Platform,others,joy,sadness,anger,surprise,disgust,fear
0,Advance Wars,GameBoyAdvance,0.4276301017245994,0.5543808447770201,0.0021501437519103306,0.00183306906658865,0.004700825813835296,0.007653566663905643,0.0016514429365857423
1,Baldur's Gate II: Shadows of Amn,PC,0.4728357284607011,0.4454166405307617,0.021343997845958338,0.006492262956176259,0.00822142694655446,0.043991418102190656,0.0016985185577400562
2,Banjo-Kazooie,Nintendo64,0.3342996195695081,0.6281319922215284,0.0017307851670666733,0.0018207725058959014,0.007607120483149834,0.02484385714308506,0.0015658516068617456
3,Batman: Arkham City,PC,0.554015921830061,0.30767114132069745,0.0048917353698976675,0.015191950362195467,0.014531128307067943,0.10173803785236231,0.0019600783594047933
4,Batman: Arkham City,PlayStation3,0.49574891948208644,0.4411201976725589,0.0052663937839791414,0.0017306007157194085,0.02757370202146367,0.02401557774606363,0.004544605872597146
5,Batman: Arkham City,Xbox360,0.5404872686852372,0.37609679599000573,0.00343719394752128,0.007449937075214381,0.019098987038766925,0.04622428662379046,0.007205526342548543
6,BioShock,PC,0.5456985902802589,0.2887133668077868,0.00202081193821434,0.010763942914266652,0.011167385337378285,0.1353379296835563,0.006297973220159488
7,BioShock,PlayStation3,0.5541115868374282,0.3420134919294294,0.0015757856940097127,0.006850812151113222,0.020848604412055827,0.07243497896376426,0.0021647411722240236
8,BioShock,Xbox360,0.5516479379794088,0.3245521461161942,0.00956832308288099,0.008147766506251484,0.011684427522932138,0.091446387134903,0.0029530138024909895
9,BioShock Infinite,PC,0.5347727481877289,0.3084865952234501,0.008271517014326485,0.004359746687413746,0.013745655383980595,0.12779531049228463,0.002568427941305709
10,BioShock Infinite,PlayStation3,0.5032109237015248,0.340853895571238,0.012003130785655182,0.004403306308668054,0.024208831015663793,0.11332315180699026,0.001996755946582757
11,BioShock Infinite,Xbox360,0.548597999218413,0.2997350583251568,0.013433725751169417,0.004022659438573158,0.0246803744330285,0.10758863230419623,0.0019415460025329623
